Time,Displacement,Force,Strain 1,Tensile displacement,Tensile stress,Tensile strain (Displacement)
(s),(mm),(kN),(%),(mm),(MPa),(%)
"0.0000","0.0964","0.0001","0.0024","-0.0003","0.0029","-0.0004"
"0.0200","0.0966","0.0001","0.0023","-0.0001","0.0017","-0.0002"
"0.0400","0.0972","0.0001","-0.0018","0.0004","0.0037","0.0006"
"0.0600","0.0988","0.0006","-0.0050","0.0020","0.0160","0.0026"
"0.0800","0.1010","0.0018","-0.0020","0.0043","0.0459","0.0053"
"0.1000","0.1030","0.0036","0.0053","0.0063","0.0916","0.0079"
"0.1200","0.1049","0.0055","-0.0013","0.0082","0.1408","0.0102"
"0.1400","0.1069","0.0073","-0.0054","0.0102","0.1858","0.0127"
"0.1600","0.1088","0.0089","0.0017","0.0120","0.2268","0.0150"
"0.1800","0.1108","0.0105","0.0004","0.0140","0.2695","0.0175"
"0.2000","0.1129","0.0123","-0.0007","0.0161","0.3145","0.0202"
"0.2200","0.1150","0.0140","-0.0016","0.0182","0.3584","0.0227"
"0.2400","0.1170","0.0157","-0.0019","0.0202","0.4029","0.0252"
"0.2600","0.1190","0.0175","0.0007","0.0223","0.4492","0.0278"
"0.2800","0.1213","0.0194","-0.0019","0.0245","0.4958","0.0306"
"0.3000","0.1232","0.0211","0.0001","0.0264","0.5410","0.0330"
"0.3200","0.1251","0.0229","0.0011","0.0283","0.5855","0.0354"
"0.3400","0.1270","0.0245","-0.0032","0.0302","0.6279","0.0377"
"0.3600","0.1289","0.0261","-0.0021","0.0322","0.6688","0.0401"
"0.3800","0.1309","0.0277","-0.0017","0.0342","0.7096","0.0427"
"0.4000","0.1330","0.0293","0.0011","0.0363","0.7504","0.0453"
"0.4200","0.1351","0.0309","0.0023","0.0383","0.7912","0.0478"
"0.4400","0.1368","0.0325","-0.0043","0.0401","0.8329","0.0501"
"0.4600","0.1387","0.0340","-0.0034","0.0419","0.8698","0.0524"
"0.4800","0.1407","0.0353","0.0000","0.0439","0.9041","0.0549"
"0.5000","0.1428","0.0366","0.0024","0.0461","0.9387","0.0575"
"0.5200","0.1450","0.0381","-0.0001","0.0483","0.9750","0.0602"
"0.5400","0.1471","0.0396","-0.0068","0.0503","1.0136","0.0628"
"0.5600","0.1491","0.0411","0.0005","0.0523","1.0525","0.0653"
"0.5800","0.1508","0.0427","0.0034","0.0541","1.0933","0.0675"
"0.6000","0.1527","0.0440","-0.0029","0.0560","1.1265","0.0699"
"0.6200","0.1548","0.0451","-0.0023","0.0580","1.1560","0.0725"
"0.6400","0.1569","0.0463","-0.0019","0.0602","1.1862","0.0751"
