Time,Displacement,Force,Strain 1,Tensile displacement,Tensile stress,Tensile strain (Displacement)
(s),(mm),(kN),(%),(mm),(MPa),(%)
"0.0000","0.0356","-0.0003","0.0044","-0.0004","-0.0086","-0.0005"
"0.0200","0.0359","0.0000","0.0017","-0.0001","-0.0001","-0.0001"
"0.0400","0.0365","0.0024","-0.0023","0.0005","0.0607","0.0006"
"0.0600","0.0380","0.0078","0.0054","0.0019","0.1994","0.0024"
"0.0800","0.0402","0.0126","0.0059","0.0042","0.3219","0.0052"
"0.1000","0.0424","0.0157","0.0014","0.0064","0.4008","0.0080"
"0.1200","0.0446","0.0178","-0.0052","0.0085","0.4568","0.0107"
"0.1400","0.0466","0.0197","-0.0096","0.0106","0.5039","0.0132"
"0.1600","0.0486","0.0214","0.0004","0.0125","0.5476","0.0157"
"0.1800","0.0506","0.0233","0.0005","0.0145","0.5956","0.0182"
"0.2000","0.0525","0.0251","-0.0042","0.0164","0.6416","0.0205"
"0.2200","0.0545","0.0268","0.0013","0.0185","0.6872","0.0231"
"0.2400","0.0567","0.0289","0.0050","0.0207","0.7399","0.0258"
"0.2600","0.0587","0.0309","0.0059","0.0227","0.7922","0.0284"
"0.2800","0.0607","0.0329","0.0003","0.0247","0.8428","0.0309"
"0.3000","0.0628","0.0349","-0.0002","0.0267","0.8946","0.0334"
"0.3200","0.0649","0.0371","0.0047","0.0288","0.9493","0.0360"
"0.3400","0.0667","0.0393","-0.0016","0.0307","1.0051","0.0383"
"0.3600","0.0686","0.0414","-0.0047","0.0326","1.0598","0.0407"
"0.3800","0.0705","0.0436","-0.0039","0.0345","1.1150","0.0431"
"0.4000","0.0724","0.0458","-0.0027","0.0364","1.1733","0.0454"
"0.4200","0.0744","0.0482","0.0021","0.0384","1.2347","0.0479"
"0.4400","0.0764","0.0508","-0.0012","0.0404","1.2996","0.0504"
"0.4600","0.0785","0.0535","-0.0007","0.0424","1.3688","0.0530"
"0.4800","0.0803","0.0562","0.0056","0.0443","1.4387","0.0553"
"0.5000","0.0822","0.0585","0.0049","0.0461","1.4985","0.0576"
"0.5200","0.0841","0.0609","0.0010","0.0481","1.5584","0.0601"
"0.5400","0.0862","0.0632","-0.0030","0.0502","1.6192","0.0627"
"0.5600","0.0884","0.0658","-0.0007","0.0523","1.6841","0.0654"
