Time,Force,Displacement,Strain 1
(s),(kN),(mm),(mm/mm)
0,0.0001,0.0966,-2e-06
1,0.0006,0.0988,2.6e-05
2,0.0036,0.103,7.900000000000001e-05
3,0.0073,0.1069,0.000127
4,0.0105,0.1108,0.00017500000000000003
5,0.014,0.115,0.00022700000000000002
6,0.0175,0.119,0.000278
7,0.0211,0.1232,0.00033
8,0.0245,0.127,0.00037699999999999995
9,0.0277,0.1309,0.000427
10,0.0309,0.1351,0.000478
11,0.034,0.1387,0.000524
12,0.0366,0.1428,0.000575
13,0.0396,0.1471,0.000628
14,0.0427,0.1508,0.000675
15,0.0451,0.1548,0.000725
16,0.0475,0.159,0.000777
17,0.0494,0.1628,0.000825
18,0.0508,0.1667,0.0008740000000000001
19,0.0517,0.1709,0.0009260000000000001
20,0.0526,0.1748,0.0009750000000000001
21,0.0533,0.1789,0.0010249999999999999
22,0.0538,0.1827,0.0010730000000000002
23,0.0541,0.1866,0.001122
24,0.0547,0.1908,0.0011740000000000001
25,0.0553,0.1945,0.00122
26,0.0555,0.1986,0.0012720000000000001
27,0.0554,0.2029,0.001325
28,0.0556,0.2068,0.001374
29,0.0558,0.2108,0.001423
30,0.0559,0.2149,0.001476
31,0.0558,0.2188,0.0015240000000000002
32,0.0559,0.2226,0.001572
33,0.0562,0.2268,0.0016239999999999998
34,0.0564,0.2308,0.001673
35,0.0566,0.2349,0.001725
36,0.0566,0.2387,0.001773
37,0.0567,0.2427,0.001822
38,0.0566,0.2469,0.001875
39,0.0568,0.2506,0.001921
40,0.057,0.2547,0.001972
41,0.0571,0.259,0.0020250000000000003
42,0.0572,0.2628,0.002074
43,0.0575,0.2666,0.002121
44,0.0575,0.2708,0.002173
45,0.0578,0.2747,0.002221
46,0.058,0.2785,0.0022689999999999997
47,0.0581,0.2827,0.002322
48,0.0583,0.2868,0.002373
49,0.0584,0.291,0.002425
50,0.0586,0.2949,0.002473
51,0.0588,0.2988,0.002523
52,0.059,0.3029,0.0025729999999999998
53,0.059,0.3066,0.00262
54,0.0591,0.3107,0.002671
55,0.0591,0.3149,0.002724
56,0.0592,0.3188,0.002773
57,0.0593,0.3227,0.002821
58,0.0595,0.3269,0.002873
59,0.0597,0.3307,0.0029210000000000004
60,0.0599,0.3346,0.00297
61,0.0599,0.3388,0.0030220000000000004
