Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
0,0,-0.1464,0.00003148
0.5,0.03,-0.08326,0.00005747
1,0.06,0.3626,0.0002286
1.5,0.09,0.9086,0.0004268
2,0.13,1.311,0.0005831
2.5,0.16,1.611,0.0007018
3,0.19,1.859,0.000794
3.5,0.23,2.069,0.0008832
4,0.26,2.25,0.0009524
4.5,0.29,2.414,0.001016
5,0.33,2.558,0.001081
5.5,0.36,2.679,0.00113
6,0.39,2.793,0.001174
6.5,0.43,2.9,0.00122
7,0.46,3.013,0.00127
7.5,0.49,3.125,0.001314
8,0.53,3.239,0.001359
8.5,0.56,3.353,0.001406
9,0.59,3.478,0.00145
9.5,0.63,3.601,0.001498
10,0.66,3.733,0.001551
10.5,0.69,3.865,0.001598
11,0.73,4.007,0.00165
11.5,0.76,4.154,0.001707
12,0.79,4.307,0.001767
12.5,0.83,4.462,0.001821
13,0.86,4.626,0.001885
13.5,0.89,4.797,0.001949
14,0.93,4.97,0.002013
14.5,0.96,5.146,0.002082
15,0.99,5.327,0.002153
15.5,1.03,5.51,0.002222
16,1.06,5.702,0.002294
16.5,1.09,5.89,0.002369
17,1.13,6.083,0.002436
17.5,1.16,6.273,0.00251
18,1.19,6.46,0.002584
18.5,1.23,6.644,0.002647
19,1.26,6.82,0.002719
19.5,1.29,6.99,0.002786
20,1.33,7.16,0.002851
20.5,1.36,7.333,0.002914
21,1.39,7.506,0.002989
21.5,1.43,7.684,0.003059
22,1.46,7.866,0.003128
22.5,1.49,8.048,0.003196
23,1.53,8.235,0.003274
23.5,1.56,8.423,0.003352
24,1.59,8.612,0.003424
24.5,1.63,8.803,0.003502
25,1.66,8.992,0.003587
25.5,1.69,9.181,0.003691
26,1.73,9.362,0.003831
26.5,1.76,9.524,0.004009
27,1.79,9.666,0.004247
27.5,1.83,9.783,0.004573
28,1.86,9.874,0.004991
28.5,1.89,9.947,0.005484
29,1.93,10,0.006043
29.5,1.96,10.05,0.006652
30,1.99,10.09,0.007317
30.5,2.03,10.13,0.008009
31,2.06,10.16,0.008723
31.5,2.09,10.18,0.009464
32,2.13,10.21,0.01022
32.5,2.16,10.23,0.01099
33,2.19,10.26,0.01175
33.5,2.23,10.28,0.01251
34,2.26,10.3,0.0133
34.5,2.29,10.33,0.01407
35,2.33,10.34,0.01484
35.5,2.36,10.37,0.01561
36,2.39,10.39,0.01637
36.5,2.43,10.41,0.01715
37,2.46,10.43,0.01791
37.5,2.49,10.45,0.01868
38,2.53,10.47,0.01943
38.5,2.56,10.49,0.0202
39,2.59,10.52,0.02097
39.5,2.63,10.53,0.02172
40,2.66,10.56,0.02248
40.5,2.69,10.58,0.02323
41,2.73,10.59,0.02398
41.5,2.76,10.62,0.02474
42,2.79,10.64,0.02548
42.5,2.83,10.66,0.02622
43,2.86,10.68,0.02698
43.5,2.89,10.69,0.02773
44,2.93,10.71,0.02847
44.5,2.96,10.73,0.02921
45,2.99,10.75,0.02994
45.5,3.03,10.77,0.03069
46,3.06,10.79,0.03145
46.5,3.09,10.81,0.03219
47,3.13,10.83,0.03293
47.5,3.16,10.85,0.03366
48,3.19,10.87,0.03441
48.5,3.23,10.89,0.03515
49,3.26,10.9,0.03589
49.5,3.29,10.92,0.03663
50,3.33,10.94,0.03737
50.5,3.36,10.96,0.03811
51,3.39,10.98,0.03886
51.5,3.43,10.99,0.03959
52,3.46,11.01,0.04033
52.5,3.49,11.03,0.04108
53,3.53,11.05,0.04182
53.5,3.56,11.06,0.04255
54,3.59,11.08,0.04329
54.5,3.63,11.1,0.04404
55,3.66,11.11,0.04478
55.5,3.69,11.13,0.04553
56,3.73,11.15,0.04627
56.5,3.76,11.16,0.047
57,3.79,11.18,0.04775
57.5,3.83,11.19,0.0485
58,3.86,11.2,0.04925
58.5,3.89,11.22,0.04999
59,3.93,11.24,0.05074
59.5,3.96,11.25,0.05149
60,3.99,11.26,0.05223
60.5,4.03,11.28,0.05299
61,4.06,11.29,0.05373
61.5,4.09,11.31,0.05449
62,4.13,11.32,0.05525
62.5,4.16,11.33,0.05601
63,4.19,11.35,0.05677
