Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
0,0,0.72,-0.00001475
0.5,0.03,1.29,0.00009344
1,0.07,1.731,0.0002092
1.5,0.1,2.181,0.0003325
2,0.13,2.634,0.0004623
2.5,0.17,3.095,0.0005842
3,0.2,3.576,0.0007269
3.5,0.23,4.056,0.0008942
4,0.27,4.53,0.001067
4.5,0.3,5.001,0.001254
4.5,0.3,5.003,0.001256
4.6,0.31,5.086,0.001269
5.1,0.27,4.172,0.001097
5.6,0.24,3.218,0.0008498
6.1,0.21,2.37,0.0006255
6.6,0.17,1.767,0.0004578
7.1,0.14,1.418,0.000357
7.6,0.11,1.107,0.0002518
7.79,0.09,1,0.0002189
7.79,0.09,0.9992,0.0002188
7.79,0.09,0.9982,0.0002188
8.29,0.13,1.824,0.0003943
8.79,0.16,2.685,0.0006015
9.29,0.19,3.24,0.0007436
9.79,0.23,3.762,0.0009011
10.29,0.26,4.295,0.00104
10.79,0.29,4.826,0.001211
11.29,0.33,5.343,0.001385
11.79,0.36,5.794,0.001601
12.29,0.39,6.156,0.001899
12.79,0.43,6.291,0.002572
13.29,0.46,6.352,0.003416
13.79,0.49,6.399,0.004063
14.29,0.53,6.451,0.004714
14.79,0.56,6.499,0.005372
15.29,0.59,6.555,0.00602
15.79,0.63,6.616,0.006676
16.29,0.66,6.671,0.007332
16.79,0.69,6.73,0.007983
17.29,0.73,6.789,0.008645
17.79,0.76,6.844,0.009278
18.29,0.79,6.902,0.00992
18.79,0.83,6.957,0.01057
19.29,0.86,7.01,0.0112
19.79,0.89,7.067,0.01183
20.29,0.93,7.12,0.01247
20.79,0.96,7.17,0.01311
21.29,0.99,7.225,0.01375
21.79,1.03,7.271,0.01436
22.29,1.06,7.321,0.01498
22.79,1.09,7.371,0.0156
23.29,1.13,7.417,0.01622
23.79,1.16,7.465,0.01684
24.29,1.19,7.514,0.01745
24.79,1.23,7.557,0.01807
25.29,1.26,7.601,0.01869
25.79,1.29,7.647,0.01931
26.29,1.33,7.69,0.01992
26.36,1.33,7.695,0.02
26.37,1.33,7.695,0.02
26.44,1.34,7.706,0.0201
26.94,1.3,6.775,0.02006
27.44,1.27,5.871,0.01979
27.94,1.24,5.014,0.01954
28.44,1.2,4.21,0.01929
28.94,1.17,3.481,0.01903
29.44,1.14,2.953,0.01884
29.94,1.1,2.618,0.01871
30.44,1.07,2.3,0.0186
30.94,1.04,1.982,0.01845
31.44,1,1.684,0.01832
31.94,0.97,1.389,0.01818
32.44,0.94,1.111,0.01805
32.66,0.92,0.9993,0.018
32.66,0.92,0.9985,0.018
32.66,0.92,0.9976,0.018
33.16,0.95,1.828,0.01815
33.66,0.99,2.682,0.01836
34.16,1.02,3.294,0.01853
34.66,1.06,3.805,0.01869
35.16,1.09,4.32,0.01885
35.66,1.12,4.844,0.01903
36.16,1.16,5.349,0.0192
36.66,1.19,5.825,0.01935
37.16,1.22,6.293,0.01952
37.66,1.26,6.724,0.01972
38.16,1.29,7.11,0.01986
38.66,1.32,7.474,0.02005
39.16,1.36,7.751,0.0203
39.66,1.39,7.824,0.02075
40.16,1.42,7.836,0.02137
