Time,Force,Displacement,Strain 1
(s),(kN),(mm),(mm/mm)
0,0.0024,0.0365,5.999999999999999e-06
1,0.0289,0.0567,0.000258
2,0.0508,0.0764,0.000504
3,0.0759,0.096,0.000749
4,0.1005,0.116,0.000999
5,0.1305,0.136,0.00125
6,0.1706,0.156,0.001499
7,0.2296,0.176,0.001749
8,0.3209,0.1956,0.001994
9,0.472,0.216,0.002248
10,0.6811,0.2359,0.002497
11,0.9437,0.2558,0.002746
12,1.2702,0.2757,0.002994
13,1.6061,0.2958,0.003246
14,1.942,0.3159,0.003497
15,2.2975,0.3357,0.003744
16,2.6652,0.3556,0.003993
17,3.051,0.3758,0.004245
18,3.4173,0.3957,0.004494
19,3.7926,0.4159,0.004746
20,4.1587,0.4357,0.004993
21,4.5241,0.4558,0.005245
22,4.8798,0.4755,0.005491
23,5.2198,0.4958,0.005744
24,5.5754,0.5159,0.005996
25,5.91,0.5356,0.006242
26,6.258,0.5558,0.006495
27,6.5892,0.5757,0.006742
28,6.9183,0.596,0.006997
29,7.2387,0.6154,0.007239
30,7.56,0.6358,0.007494
31,7.8777,0.6559,0.0077449999999999
32,8.1781,0.6758,0.007993
33,8.4805,0.6958,0.008244
34,8.775,0.7156,0.008491
35,9.0615,0.7359,0.008744
36,9.3391,0.7557,0.008992
37,9.6005,0.7758,0.009243
38,9.861,0.7962,0.009498
39,10.0657,0.8156,0.00974
40,10.2647,0.8359,0.009993
41,10.4515,0.8557,0.010241
42,10.637,0.876,0.010495
43,10.818,0.8958,0.010742
44,10.9879,0.9157,0.0109909999999999
45,11.1675,0.9363,0.011248
46,11.3159,0.9557,0.01149
47,11.4771,0.976,0.011744
48,11.6243,0.9957,0.01199
49,11.764,1.0159,0.0122429999999999
50,11.8966,1.0358,0.012492
51,12.0108,1.0559,0.0127429999999999
52,12.1303,1.0761,0.012995
53,12.2271,1.0957,0.01324
54,12.3268,1.116,0.0134939999999999
55,12.4193,1.136,0.013744
56,12.4933,1.1559,0.013993
57,12.5757,1.1759,0.014242
58,12.6414,1.196,0.014492
59,12.7152,1.2162,0.0147459999999999
60,12.7673,1.2358,0.014991
61,12.826,1.256,0.015242
62,12.8853,1.2758,0.015489
