Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
0,0,0.1054,0.00006465
0.5,0.03,1.005,0.0001744
1,0.07,1.987,0.0002909
1.5,0.1,2.793,0.0003867
2,0.13,3.467,0.0004751
2.5,0.17,4.059,0.0005538
3,0.2,4.554,0.0006202
3.5,0.23,4.963,0.0006614
4,0.27,5.345,0.0007247
4.5,0.3,5.718,0.0007691
5,0.33,6.08,0.0008101
5.5,0.37,6.422,0.0008516
6,0.4,6.753,0.0008911
6.5,0.43,7.082,0.0009351
7,0.47,7.405,0.0009705
7.5,0.5,7.731,0.001012
8,0.53,8.071,0.001057
8.5,0.57,8.408,0.001093
9,0.6,8.744,0.00114
9.5,0.63,9.07,0.001181
10,0.67,9.383,0.001219
10.5,0.7,9.713,0.001262
11,0.73,10.02,0.00131
11.5,0.77,10.33,0.001341
12,0.8,10.65,0.001382
12.5,0.83,10.96,0.001419
13,0.87,11.26,0.001456
13.5,0.9,11.58,0.001492
14,0.93,11.87,0.001525
14.5,0.97,12.17,0.00156
15,1,12.48,0.001601
15.5,1.03,12.79,0.00163
16,1.07,13.1,0.001675
16.5,1.1,13.41,0.001718
17,1.13,13.73,0.001747
17.5,1.17,14.04,0.001778
18,1.2,14.36,0.001824
18.5,1.23,14.68,0.001859
19,1.27,15,0.0019
19.5,1.3,15.33,0.001943
20,1.33,15.65,0.00198
20.5,1.37,15.98,0.002025
21,1.4,16.3,0.002067
21.5,1.43,16.63,0.002099
22,1.47,16.96,0.00215
22.5,1.5,17.29,0.002186
23,1.53,17.62,0.002227
23.5,1.57,17.96,0.002274
24,1.6,18.28,0.002324
24.5,1.63,18.62,0.002364
25,1.67,18.96,0.002409
25.5,1.7,19.29,0.002468
26,1.73,19.62,0.002524
26.5,1.77,19.96,0.002582
27,1.8,20.29,0.002643
27.5,1.83,20.62,0.002707
28,1.87,20.95,0.00279
28.5,1.9,21.28,0.002867
29,1.93,21.6,0.002942
29.5,1.97,21.93,0.003038
30,2,22.25,0.003143
30.5,2.03,22.56,0.003244
31,2.07,22.88,0.003367
31.5,2.1,23.19,0.003504
