Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
0,0,-0.05282,-0.00009047
0.5,0.03,0.009095,0.0002141
1,0.06,0.07946,0.0006033
1.5,0.09,0.1218,0.0008273
2,0.13,0.1835,0.001169
2.5,0.16,0.2463,0.001524
3,0.19,0.3089,0.001884
3.5,0.23,0.3708,0.002249
4,0.26,0.4318,0.002613
4.5,0.29,0.4926,0.002981
5,0.33,0.5526,0.003343
5.5,0.36,0.6117,0.003702
6,0.39,0.6703,0.004071
6.5,0.43,0.7287,0.004427
7,0.46,0.7865,0.004799
7.5,0.49,0.8424,0.005155
8,0.53,0.8988,0.005512
8.5,0.56,0.954,0.005872
9,0.59,1.009,0.006233
9.5,0.63,1.063,0.006579
10,0.66,1.115,0.006937
10.5,0.69,1.169,0.007302
11,0.73,1.22,0.007649
11.5,0.76,1.271,0.007993
12,0.79,1.321,0.008347
12.5,0.83,1.371,0.008703
13,0.86,1.42,0.009046
13.5,0.89,1.468,0.009392
14,0.93,1.516,0.009739
14.5,0.96,1.562,0.01008
15,0.99,1.608,0.01043
15.5,1.03,1.653,0.01076
16,1.06,1.697,0.0111
16.5,1.09,1.74,0.01143
17,1.13,1.783,0.01177
17.5,1.16,1.825,0.01209
18,1.19,1.865,0.01242
18.5,1.23,1.904,0.01275
19,1.26,1.944,0.01307
19.5,1.29,1.981,0.01339
20,1.33,2.018,0.0137
20.5,1.36,2.054,0.01402
21,1.39,2.089,0.01432
21.5,1.43,2.122,0.01462
22,1.46,2.154,0.01491
22.5,1.49,2.183,0.0152
23,1.53,2.212,0.01547
23.5,1.56,2.239,0.01575
24,1.59,2.265,0.01601
24.5,1.63,2.289,0.01627
25,1.66,2.312,0.01651
25.5,1.69,2.332,0.01674
26,1.73,2.352,0.01697
26.5,1.76,2.373,0.01721
27,1.79,2.398,0.01747
27.5,1.83,2.425,0.01774
28,1.86,2.448,0.01798
28.5,1.89,2.469,0.01822
29,1.93,2.49,0.01845
29.5,1.96,2.51,0.01869
30,1.99,2.53,0.01892
30.5,2.03,2.552,0.01916
31,2.06,2.573,0.01941
31.5,2.09,2.594,0.01966
32,2.13,2.615,0.0199
32.5,2.16,2.636,0.02015
33,2.19,2.658,0.0204
33.5,2.23,2.679,0.02066
34,2.26,2.7,0.02092
34.5,2.29,2.722,0.02118
35,2.33,2.743,0.02145
35.5,2.36,2.764,0.02172
36,2.39,2.785,0.02199
36.5,2.43,2.806,0.02226
37,2.46,2.827,0.02252
37.5,2.49,2.847,0.0228
38,2.53,2.868,0.02308
38.5,2.56,2.888,0.02335
39,2.59,2.908,0.02363
39.5,2.63,2.928,0.02392
40,2.66,2.948,0.02421
40.5,2.69,2.968,0.02449
41,2.73,2.988,0.02479
41.5,2.76,3.007,0.02508
42,2.79,3.027,0.02538
42.5,2.83,3.046,0.02568
43,2.86,3.066,0.02597
43.5,2.89,3.084,0.02628
44,2.93,3.104,0.02658
44.5,2.96,3.122,0.02689
45,2.99,3.14,0.0272
45.5,3.03,3.159,0.02751
46,3.06,3.177,0.02783
46.5,3.09,3.195,0.02815
47,3.13,3.213,0.02846
47.5,3.16,3.231,0.0288
48,3.19,3.249,0.02912
48.5,3.23,3.266,0.02945
49,3.26,3.284,0.02979
49.5,3.29,3.3,0.03011
50,3.33,3.317,0.03046
50.5,3.36,3.334,0.0308
51,3.39,3.35,0.03114
51.5,3.43,3.367,0.03149
52,3.46,3.383,0.03183
52.5,3.49,3.399,0.03219
53,3.53,3.415,0.03255
53.5,3.56,3.43,0.0329
54,3.59,3.446,0.03327
54.5,3.63,3.461,0.03364
55,3.66,3.477,0.03401
55.5,3.69,3.491,0.03438
56,3.73,3.506,0.03476
56.5,3.76,3.521,0.03514
57,3.79,3.535,0.03552
57.5,3.83,3.549,0.03591
58,3.86,3.563,0.0363
58.5,3.89,3.577,0.0367
59,3.93,3.59,0.0371
59.5,3.96,3.604,0.0375
60,3.99,3.618,0.03791
60.5,4.03,3.63,0.03832
61,4.06,3.643,0.03873
61.5,4.09,3.655,0.03914
62,4.13,3.668,0.03956
62.5,4.16,3.68,0.03999
63,4.19,3.691,0.04041
63.5,4.23,3.704,0.04085
64,4.26,3.716,0.04128
64.5,4.29,3.726,0.04172
65,4.33,3.737,0.04216
65.5,4.36,3.748,0.04261
66,4.39,3.759,0.04307
66.5,4.43,3.769,0.04353
67,4.46,3.779,0.04398
67.5,4.49,3.788,0.04444
68,4.53,3.799,0.04491
68.5,4.56,3.809,0.04539
69,4.59,3.818,0.04586
69.5,4.63,3.827,0.04635
70,4.66,3.835,0.04684
70.5,4.69,3.844,0.04732
71,4.73,3.852,0.04782
71.5,4.76,3.86,0.04831
72,4.79,3.869,0.04882
