Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
0,0,0.1739,-0.000004134
0.5,0.03,0.5095,0.00005524
1,0.06,1.028,0.0001386
1.5,0.09,1.452,0.0001803
2,0.13,1.618,0.0002096
2.5,0.16,1.768,0.0002332
3,0.19,1.935,0.00026
3.5,0.23,2.107,0.0002805
4,0.26,2.278,0.0003083
4.5,0.29,2.46,0.0003202
5,0.33,2.639,0.0003404
5.5,0.36,2.815,0.0003583
6,0.39,2.992,0.0003793
6.5,0.43,3.155,0.0003971
7,0.46,3.32,0.0004055
7.5,0.49,3.489,0.0004444
8,0.53,3.657,0.0004612
8.5,0.56,3.826,0.0004915
9,0.59,4,0.0005018
9.5,0.63,4.175,0.0005364
10,0.66,4.353,0.000566
10.5,0.69,4.537,0.0005924
11,0.73,4.728,0.0006076
11.5,0.76,4.926,0.0006405
12,0.79,5.127,0.000664
12.5,0.83,5.323,0.000698
13,0.86,5.525,0.0007186
13.5,0.89,5.726,0.0007428
14,0.93,5.932,0.0007764
14.5,0.96,6.139,0.0008013
15,0.99,6.347,0.0008285
15.5,1.03,6.557,0.00085
16,1.06,6.766,0.0008883
16.5,1.09,6.978,0.0009104
17,1.13,7.189,0.000941
17.5,1.16,7.402,0.0009813
18,1.19,7.618,0.001015
18.5,1.23,7.829,0.001052
19,1.26,8.044,0.001095
19.5,1.29,8.251,0.001159
20,1.33,8.462,0.001207
20.5,1.36,8.677,0.001283
21,1.39,8.877,0.001367
21.5,1.43,9.071,0.001466
22,1.46,9.254,0.001593
22.5,1.49,9.418,0.001782
23,1.53,9.546,0.002027
23.5,1.56,9.63,0.002396
24,1.59,9.681,0.002862
24.5,1.63,9.736,0.003395
25,1.66,9.789,0.003951
25.5,1.69,9.847,0.004485
26,1.73,9.91,0.005025
26.5,1.76,9.987,0.005562
27,1.79,10.05,0.006068
27.5,1.83,10.13,0.006583
28,1.86,10.19,0.007083
28.5,1.89,10.26,0.007579
29,1.93,10.34,0.008073
29.5,1.96,10.4,0.008564
30,1.99,10.47,0.009064
30.5,2.03,10.54,0.009552
31,2.06,10.6,0.01005
31.5,2.09,10.67,0.01055
32,2.13,10.74,0.01104
32.5,2.16,10.8,0.01154
33,2.19,10.86,0.01204
33.5,2.23,10.93,0.01253
34,2.26,10.99,0.01303
34.5,2.29,11.05,0.01354
35,2.33,11.11,0.01403
35.5,2.36,11.17,0.01454
36,2.39,11.23,0.01504
36.5,2.43,11.28,0.01554
37,2.46,11.34,0.01604
37.5,2.49,11.4,0.01656
38,2.53,11.45,0.01706
38.5,2.56,11.51,0.01758
39,2.59,11.56,0.01808
39.5,2.63,11.62,0.0186
40,2.66,11.67,0.0191
40.5,2.69,11.72,0.01962
41,2.73,11.78,0.02013
41.5,2.76,11.83,0.02065
42,2.79,11.88,0.02115
42.5,2.83,11.93,0.02168
43,2.86,11.98,0.0222
43.5,2.89,12.04,0.02271
44,2.93,12.09,0.02323
44.5,2.96,12.13,0.02375
45,2.99,12.18,0.02428
45.5,3.03,12.23,0.02479
46,3.06,12.28,0.02532
46.5,3.09,12.33,0.02584
47,3.13,12.38,0.02636
47.5,3.16,12.43,0.02689
48,3.19,12.47,0.02741
48.5,3.23,12.51,0.02794
49,3.26,12.56,0.02846
49.5,3.29,12.61,0.02898
50,3.33,12.66,0.02951
50.5,3.36,12.7,0.03006
51,3.39,12.74,0.03058
51.5,3.43,12.79,0.03111
52,3.46,12.84,0.03165
52.5,3.49,12.88,0.03217
53,3.53,12.92,0.03271
53.5,3.56,12.96,0.03324
54,3.59,13.01,0.03377
54.5,3.63,13.05,0.03431
55,3.66,13.09,0.03485
55.5,3.69,13.14,0.03538
56,3.73,13.18,0.03591
56.5,3.76,13.21,0.03644
57,3.79,13.26,0.03698
57.5,3.83,13.3,0.03751
58,3.86,13.34,0.03805
58.5,3.89,13.38,0.03858
59,3.93,13.42,0.03912
59.5,3.96,13.46,0.03965
60,3.99,13.5,0.04018
60.5,4.03,13.54,0.04072
61,4.06,13.58,0.04126
61.5,4.09,13.62,0.04179
62,4.13,13.66,0.04233
62.5,4.16,13.69,0.04286
63,4.19,13.74,0.04339
63.5,4.23,13.77,0.04394
64,4.26,13.81,0.04448
64.5,4.29,13.85,0.04501
65,4.33,13.88,0.04555
65.5,4.36,13.92,0.04608
66,4.39,13.96,0.04662
66.5,4.43,14,0.04716
67,4.46,14.03,0.04768
67.5,4.49,14.07,0.04823
68,4.53,14.11,0.04877
68.5,4.56,14.14,0.0493
69,4.59,14.18,0.04984
69.5,4.63,14.22,0.05038
70,4.66,14.25,0.05091
70.5,4.69,14.29,0.05146
71,4.73,14.32,0.05199
71.5,4.76,14.36,0.05253
72,4.79,14.4,0.05307
72.5,4.83,14.43,0.0536
73,4.86,14.46,0.05413
73.5,4.89,14.5,0.05468
74,4.93,14.53,0.05521
74.5,4.96,14.57,0.05575
75,4.99,14.61,0.05628
75.5,5.03,14.64,0.05682
76,5.06,14.67,0.05735
76.5,5.09,14.71,0.05789
77,5.13,14.74,0.05843
77.5,5.16,14.78,0.05897
78,5.19,14.81,0.05951
78.5,5.23,14.84,0.06004
79,5.26,14.88,0.06058
79.5,5.29,14.9,0.06112
80,5.33,14.94,0.06166
80.5,5.36,14.97,0.06219
81,5.39,15.01,0.06272
81.5,5.43,15.04,0.06326
82,5.46,15.07,0.0638
82.5,5.49,15.1,0.06433
83,5.53,15.14,0.06487
83.5,5.56,15.17,0.06541
84,5.59,15.21,0.06594
84.5,5.63,15.24,0.06648
85,5.66,15.26,0.06701
85.5,5.69,15.29,0.06754
86,5.73,15.33,0.06807
86.5,5.76,15.36,0.06861
87,5.79,15.39,0.06914
87.5,5.83,15.42,0.06967
88,5.86,15.45,0.07021
88.5,5.89,15.49,0.07074
89,5.93,15.52,0.07127
89.5,5.96,15.55,0.0718
90,5.99,15.58,0.07234
90.5,6.03,15.61,0.07286
91,6.06,15.64,0.0734
91.5,6.09,15.67,0.07394
92,6.13,15.71,0.07447
92.5,6.16,15.73,0.075
93,6.19,15.77,0.07553
93.5,6.23,15.79,0.07607
94,6.26,15.82,0.07659
94.5,6.29,15.86,0.07713
95,6.33,15.89,0.07766
95.5,6.36,15.91,0.07819
96,6.39,15.94,0.07872
96.5,6.43,15.97,0.07924
97,6.46,16,0.07977
97.5,6.49,16.03,0.0803
98,6.53,16.06,0.08084
98.5,6.56,16.09,0.08137
99,6.59,16.12,0.08191
99.5,6.63,16.14,0.08243
100,6.66,16.17,0.08297
100.5,6.69,16.21,0.0835
101,6.73,16.23,0.08403
101.5,6.76,16.26,0.08456
102,6.79,16.29,0.08509
102.5,6.83,16.31,0.08562
103,6.86,16.34,0.08615
103.5,6.89,16.37,0.08668
104,6.93,16.4,0.0872
104.5,6.96,16.43,0.08774
105,6.99,16.45,0.08826
105.5,7.03,16.48,0.0888
106,7.06,16.51,0.08932
106.5,7.09,16.54,0.08985
107,7.13,16.57,0.09038
107.5,7.16,16.59,0.09091
108,7.19,16.62,0.09144
108.5,7.23,16.65,0.09196
109,7.26,16.68,0.09249
109.5,7.29,16.7,0.09301
110,7.33,16.72,0.09355
110.5,7.36,16.75,0.09407
111,7.39,16.78,0.0946
111.5,7.43,16.81,0.09512
112,7.46,16.83,0.09566
112.5,7.49,16.86,0.09618
113,7.53,16.89,0.09671
113.5,7.56,16.91,0.09724
114,7.59,16.93,0.09776
114.5,7.63,16.96,0.0983
115,7.66,16.99,0.09881
115.5,7.69,17.02,0.09934
116,7.73,17.04,0.09988
116.5,7.76,17.06,0.1004
117,7.79,17.09,0.1009
117.5,7.83,17.12,0.1015
118,7.86,17.14,0.102
118.5,7.89,17.17,0.1025
119,7.93,17.19,0.103
119.5,7.96,17.22,0.1036
120,7.99,17.24,0.1041
120.5,8.03,17.27,0.1046
121,8.06,17.29,0.1052
121.5,8.09,17.32,0.1057
122,8.13,17.34,0.1062
122.5,8.16,17.36,0.1067
123,8.19,17.39,0.1073
123.5,8.23,17.42,0.1078
124,8.26,17.44,0.1083
124.5,8.29,17.46,0.1089
125,8.33,17.49,0.1094
125.5,8.36,17.51,0.1099
126,8.39,17.54,0.1105
126.5,8.43,17.56,0.111
127,8.46,17.58,0.1115
127.5,8.49,17.6,0.112
128,8.53,17.62,0.1126
128.5,8.56,17.65,0.1131
129,8.59,17.68,0.1136
129.5,8.63,17.7,0.1142
130,8.66,17.72,0.1147
130.5,8.69,17.74,0.1152
131,8.73,17.77,0.1158
131.5,8.76,17.79,0.1163
132,8.79,17.82,0.1168
132.5,8.83,17.84,0.1174
133,8.86,17.86,0.1179
133.5,8.89,17.88,0.1184
134,8.93,17.9,0.119
134.5,8.96,17.93,0.1195
135,8.99,17.95,0.12
135.5,9.03,17.98,0.1206
136,9.06,17.99,0.1211
136.5,9.09,18.02,0.1216
137,9.13,18.04,0.1222
137.5,9.16,18.06,0.1227
138,9.19,18.09,0.1233
138.5,9.23,18.11,0.1238
139,9.26,18.13,0.1243
139.5,9.29,18.15,0.1249
140,9.33,18.17,0.1254
140.5,9.36,18.2,0.126
141,9.39,18.21,0.1265
141.5,9.43,18.24,0.127
142,9.46,18.26,0.1276
142.5,9.49,18.28,0.1281
143,9.53,18.3,0.1287
143.5,9.56,18.32,0.1292
144,9.59,18.34,0.1297
144.5,9.63,18.36,0.1303
145,9.66,18.38,0.1308
145.5,9.69,18.41,0.1314
146,9.73,18.43,0.1319
146.5,9.76,18.45,0.1325
147,9.79,18.47,0.133
147.5,9.83,18.49,0.1335
148,9.86,18.51,0.1341
148.5,9.89,18.53,0.1346
149,9.93,18.55,0.1352
149.5,9.96,18.57,0.1357
150,9.99,18.59,0.1363
150.5,10.03,18.61,0.1368
151,10.06,18.63,0.1373
151.5,10.09,18.66,0.1379
152,10.13,18.67,0.1384
152.5,10.16,18.7,0.139
153,10.19,18.71,0.1395
153.5,10.23,18.73,0.1401
154,10.26,18.75,0.1406
154.5,10.29,18.77,0.1412
155,10.33,18.79,0.1417
155.5,10.36,18.81,0.1423
156,10.39,18.83,0.1428
156.5,10.43,18.85,0.1434
157,10.46,18.87,0.1439
157.5,10.49,18.89,0.1444
158,10.53,18.91,0.145
158.5,10.56,18.93,0.1455
159,10.59,18.95,0.1461
159.5,10.63,18.97,0.1466
160,10.66,18.99,0.1472
160.5,10.69,19.01,0.1477
161,10.73,19.03,0.1483
161.5,10.76,19.04,0.1488
162,10.79,19.06,0.1494
162.5,10.83,19.08,0.1499
163,10.86,19.1,0.1505
163.5,10.89,19.12,0.1511
164,10.93,19.14,0.1516
164.5,10.96,19.16,0.1522
165,10.99,19.17,0.1527
165.5,11.03,19.19,0.1533
166,11.06,19.21,0.1538
166.5,11.09,19.23,0.1544
167,11.13,19.25,0.1549
167.5,11.16,19.27,0.1555
168,11.19,19.29,0.1561
168.5,11.23,19.31,0.1566
169,11.26,19.32,0.1572
169.5,11.29,19.34,0.1577
170,11.33,19.36,0.1583
170.5,11.36,19.38,0.1588
171,11.39,19.4,0.1594
171.5,11.43,19.41,0.16
172,11.46,19.43,0.1605
172.5,11.49,19.45,0.1611
173,11.53,19.47,0.1616
173.5,11.56,19.48,0.1622
174,11.59,19.5,0.1628
174.5,11.63,19.52,0.1633
175,11.66,19.54,0.1639
175.5,11.69,19.56,0.1644
176,11.73,19.57,0.165
176.5,11.76,19.59,0.1656
177,11.79,19.61,0.1661
177.5,11.83,19.62,0.1667
178,11.86,19.64,0.1673
178.5,11.89,19.66,0.1678
179,11.93,19.68,0.1684
179.5,11.96,19.69,0.1689
180,11.99,19.71,0.1695
180.5,12.03,19.73,0.1701
181,12.06,19.75,0.1706
181.5,12.09,19.76,0.1712
182,12.13,19.78,0.1718
182.5,12.16,19.79,0.1723
183,12.19,19.82,0.1729
183.5,12.23,19.83,0.1735
184,12.26,19.85,0.174
184.5,12.29,19.86,0.1746
185,12.33,19.88,0.1752
185.5,12.36,19.9,0.1757
186,12.39,19.91,0.1763
186.5,12.43,19.93,0.1769
187,12.46,19.94,0.1774
187.5,12.49,19.96,0.178
188,12.53,19.98,0.1786
188.5,12.56,19.99,0.1791
189,12.59,20.01,0.1797
189.5,12.63,20.02,0.1803
190,12.66,20.04,0.1808
190.5,12.69,20.06,0.1814
191,12.73,20.07,0.182
191.5,12.76,20.09,0.1826
192,12.79,20.1,0.1831
192.5,12.83,20.12,0.1837
193,12.86,20.14,0.1843
193.5,12.89,20.15,0.1848
194,12.93,20.17,0.1854
194.5,12.96,20.19,0.186
195,12.99,20.2,0.1866
195.5,13.03,20.21,0.1871
196,13.06,20.23,0.1877
196.5,13.09,20.24,0.1883
197,13.13,20.26,0.1889
197.5,13.16,20.28,0.1894
198,13.19,20.29,0.19
198.5,13.23,20.31,0.1906
199,13.26,20.32,0.1912
199.5,13.29,20.34,0.1917
200,13.33,20.36,0.1923
200.5,13.36,20.37,0.1929
201,13.39,20.38,0.1935
201.5,13.43,20.4,0.194
202,13.46,20.41,0.1946
202.5,13.49,20.43,0.1952
203,13.53,20.44,0.1958
203.5,13.56,20.46,0.1963
204,13.59,20.47,0.1969
204.5,13.63,20.49,0.1975
205,13.66,20.5,0.1981
205.5,13.69,20.52,0.1987
206,13.73,20.53,0.1992
206.5,13.76,20.54,0.1998
207,13.79,20.56,0.2004
207.5,13.83,20.57,0.201
208,13.86,20.59,0.2016
208.5,13.89,20.61,0.2021
209,13.93,20.62,0.2027
209.5,13.96,20.63,0.2033
210,13.99,20.65,0.2039
210.5,14.03,20.66,0.2045
211,14.06,20.68,0.205
211.5,14.09,20.69,0.2056
212,14.13,20.7,0.2062
212.5,14.16,20.72,0.2068
213,14.19,20.73,0.2074
213.5,14.23,20.75,0.208
214,14.26,20.76,0.2085
214.5,14.29,20.77,0.2091
215,14.33,20.79,0.2097
215.5,14.36,20.8,0.2103
216,14.39,20.81,0.2109
216.5,14.43,20.83,0.2115
217,14.46,20.85,0.2121
217.5,14.49,20.86,0.2126
218,14.53,20.87,0.2132
218.5,14.56,20.88,0.2138
219,14.59,20.89,0.2144
219.5,14.63,20.92,0.215
220,14.66,20.93,0.2156
220.5,14.69,20.94,0.2162
221,14.73,20.95,0.2168
221.5,14.76,20.97,0.2173
222,14.79,20.98,0.2179
222.5,14.83,20.99,0.2185
223,14.86,21.01,0.2191
223.5,14.89,21.02,0.2197
224,14.93,21.03,0.2203
224.5,14.96,21.04,0.2209
225,14.99,21.06,0.2215
225.5,15.03,21.07,0.2221
226,15.06,21.09,0.2226
226.5,15.09,21.1,0.2232
227,15.13,21.11,0.2238
227.5,15.16,21.12,0.2244
228,15.19,21.14,0.225
228.5,15.23,21.15,0.2256
229,15.26,21.16,0.2262
229.5,15.29,21.18,0.2268
230,15.33,21.19,0.2274
230.5,15.36,21.2,0.228
231,15.39,21.21,0.2286
231.5,15.43,21.23,0.2292
232,15.46,21.24,0.2298
232.5,15.49,21.25,0.2304
233,15.53,21.26,0.231
233.5,15.56,21.28,0.2315
234,15.59,21.29,0.2321
234.5,15.63,21.3,0.2327
235,15.66,21.32,0.2333
235.5,15.69,21.33,0.2339
236,15.73,21.34,0.2345
236.5,15.76,21.35,0.2351
237,15.79,21.37,0.2357
237.5,15.83,21.38,0.2363
238,15.86,21.39,0.2369
238.5,15.89,21.4,0.2375
239,15.93,21.42,0.2381
239.5,15.96,21.43,0.2387
240,15.99,21.44,0.2393
240.5,16.03,21.45,0.2399
241,16.06,21.47,0.2405
241.5,16.09,21.48,0.2411
242,16.13,21.49,0.2417
242.5,16.16,21.51,0.2423
243,16.19,21.51,0.2429
243.5,16.23,21.53,0.2435
244,16.26,21.54,0.2441
244.5,16.29,21.55,0.2447
245,16.33,21.56,0.2453
245.5,16.36,21.57,0.2459
246,16.39,21.59,0.2465
246.5,16.43,21.6,0.2471
247,16.46,21.61,0.2477
247.5,16.49,21.62,0.2483
248,16.53,21.63,0.2489
248.5,16.56,21.65,0.2495
249,16.59,21.66,0.2501
249.5,16.63,21.67,0.2507
250,16.66,21.68,0.2514
250.5,16.69,21.69,0.252
251,16.73,21.7,0.2526
251.5,16.76,21.71,0.2532
252,16.79,21.73,0.2538
252.5,16.83,21.74,0.2544
253,16.86,21.74,0.255
253.5,16.89,21.76,0.2556
254,16.93,21.77,0.2562
254.5,16.96,21.78,0.2568
255,16.99,21.79,0.2574
255.5,17.03,21.8,0.258
256,17.06,21.81,0.2586
256.5,17.09,21.83,0.2592
257,17.13,21.84,0.2599
257.5,17.16,21.84,0.2605
258,17.19,21.86,0.2611
258.5,17.23,21.87,0.2617
259,17.26,21.88,0.2623
259.5,17.29,21.89,0.2629
260,17.33,21.9,0.2635
260.5,17.36,21.92,0.2641
261,17.39,21.93,0.2647
261.5,17.43,21.93,0.2653
262,17.46,21.95,0.266
262.5,17.49,21.96,0.2666
263,17.53,21.97,0.2672
263.5,17.56,21.98,0.2678
264,17.59,21.99,0.2684
264.5,17.63,22,0.269
265,17.66,22.01,0.2696
265.5,17.69,22.02,0.2703
266,17.73,22.03,0.2709
266.5,17.76,22.04,0.2715
267,17.79,22.05,0.2721
267.5,17.83,22.06,0.2727
268,17.86,22.07,0.2733
268.5,17.89,22.08,0.274
269,17.93,22.1,0.2746
269.5,17.96,22.11,0.2752
270,17.99,22.11,0.2758
270.5,18.03,22.12,0.2764
271,18.06,22.14,0.277
271.5,18.09,22.15,0.2777
272,18.13,22.15,0.2783
272.5,18.16,22.16,0.2789
273,18.19,22.17,0.2795
273.5,18.23,22.19,0.2802
274,18.26,22.2,0.2808
274.5,18.29,22.21,0.2814
275,18.33,22.22,0.282
275.5,18.36,22.22,0.2826
276,18.39,22.23,0.2833
276.5,18.43,22.25,0.2839
277,18.46,22.26,0.2845
277.5,18.49,22.27,0.2851
278,18.53,22.27,0.2858
278.5,18.56,22.28,0.2864
279,18.59,22.3,0.287
279.5,18.63,22.31,0.2876
280,18.66,22.32,0.2883
280.5,18.69,22.32,0.2889
281,18.73,22.33,0.2895
281.5,18.76,22.34,0.2901
282,18.79,22.35,0.2908
282.5,18.83,22.37,0.2914
283,18.86,22.37,0.292
283.5,18.89,22.39,0.2927
284,18.93,22.39,0.2933
284.5,18.96,22.4,0.2939
285,18.99,22.42,0.2945
285.5,19.03,22.42,0.2952
286,19.06,22.43,0.2958
286.5,19.09,22.44,0.2964
287,19.13,22.45,0.2971
287.5,19.16,22.46,0.2977
288,19.19,22.47,0.2983
288.5,19.23,22.48,0.299
289,19.26,22.48,0.2996
289.5,19.29,22.5,0.3002
290,19.33,22.5,0.3009
290.5,19.36,22.51,0.3015
291,19.39,22.52,0.3021
291.5,19.43,22.53,0.3028
292,19.46,22.54,0.3034
292.5,19.49,22.55,0.304
293,19.53,22.55,0.3047
293.5,19.56,22.57,0.3053
294,19.59,22.58,0.3059
294.5,19.63,22.59,0.3066
295,19.66,22.59,0.3072
295.5,19.69,22.6,0.3078
296,19.73,22.61,0.3085
296.5,19.76,22.62,0.3091
297,19.79,22.63,0.3098
297.5,19.83,22.64,0.3104
298,19.86,22.64,0.311
298.5,19.89,22.65,0.3117
299,19.93,22.66,0.3123
299.5,19.96,22.68,0.313
300,19.99,22.68,0.3136
300.5,20.03,22.69,0.3142
301,20.06,22.7,0.3149
301.5,20.09,22.71,0.3155
302,20.13,22.72,0.3162
302.5,20.16,22.72,0.3168
303,20.19,22.73,0.3174
303.5,20.23,22.74,0.3181
304,20.26,22.75,0.3187
304.5,20.29,22.76,0.3194
305,20.33,22.77,0.32
305.5,20.36,22.78,0.3207
306,20.39,22.79,0.3213
306.5,20.43,22.79,0.322
307,20.46,22.8,0.3226
307.5,20.49,22.81,0.3232
308,20.53,22.82,0.3239
308.5,20.56,22.83,0.3246
309,20.59,22.84,0.3252
309.5,20.63,22.84,0.3258
310,20.66,22.85,0.3265
310.5,20.69,22.86,0.3272
311,20.73,22.87,0.3278
311.5,20.76,22.88,0.3284
312,20.79,22.88,0.3291
312.5,20.83,22.89,0.3298
313,20.86,22.9,0.3304
313.5,20.89,22.91,0.3311
314,20.93,22.92,0.3317
314.5,20.96,22.92,0.3324
315,20.99,22.93,0.333
315.5,21.03,22.94,0.3337
316,21.06,22.95,0.3343
316.5,21.09,22.96,0.335
317,21.13,22.96,0.3356
317.5,21.16,22.98,0.3363
318,21.19,22.98,0.3369
318.5,21.23,22.99,0.3376
319,21.26,23,0.3382
319.5,21.29,23.01,0.3389
320,21.33,23.02,0.3396
320.5,21.36,23.02,0.3402
321,21.39,23.03,0.3409
321.5,21.43,23.04,0.3415
322,21.46,23.05,0.3422
322.5,21.49,23.05,0.3429
323,21.53,23.06,0.3435
323.5,21.56,23.07,0.3441
324,21.59,23.08,0.3448
324.5,21.63,23.08,0.3454
325,21.66,23.09,0.3461
325.5,21.69,23.1,0.3468
326,21.73,23.11,0.3474
326.5,21.76,23.11,0.3481
327,21.79,23.12,0.3488
327.5,21.83,23.13,0.3494
328,21.86,23.13,0.3501
328.5,21.89,23.14,0.3508
329,21.93,23.15,0.3514
329.5,21.96,23.16,0.3521
330,21.99,23.16,0.3528
330.5,22.03,23.17,0.3534
331,22.06,23.18,0.3541
331.5,22.09,23.18,0.3548
332,22.13,23.2,0.3554
332.5,22.16,23.2,0.3561
333,22.19,23.21,0.3568
333.5,22.23,23.22,0.3574
334,22.26,23.22,0.3581
334.5,22.29,23.23,0.3588
335,22.33,23.23,0.3595
335.5,22.36,23.24,0.3601
336,22.39,23.25,0.3608
336.5,22.43,23.25,0.3615
337,22.46,23.26,0.3621
337.5,22.49,23.27,0.3628
338,22.53,23.28,0.3635
338.5,22.56,23.28,0.3642
339,22.59,23.29,0.3648
339.5,22.63,23.3,0.3655
340,22.66,23.3,0.3662
340.5,22.69,23.31,0.3669
341,22.73,23.31,0.3675
341.5,22.76,23.32,0.3682
342,22.79,23.33,0.3689
342.5,22.83,23.34,0.3696
343,22.86,23.34,0.3703
343.5,22.89,23.35,0.3709
344,22.93,23.35,0.3716
344.5,22.96,23.36,0.3723
345,22.99,23.37,0.373
345.5,23.03,23.38,0.3737
346,23.06,23.38,0.3743
